Demo,,,目標設定,目標設定,目標設定,實際作為,實際作為,供應鏈管理,,2030年溫室氣體絕對減量目標,,,,2030年再生能源使用率目標,,,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略
統一編號,公司,產業類別,2030年溫室氣體絕對減量目標,2030年再生能源使用率目標,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略,>> Data,是否設定中期溫室氣體絕對減量目標,中期減量目標年設定,中期溫室氣體絕對減量目標值（百分比）,中期減量基準年設定,再生能源目標年設定,再生能源目標值（百分比）,是否取得RE100認證？,年節電率目標,再生能源使用佔總發電量（百分比）,22-24 能效進步率,範疇三（值）,是否設定範疇三減量目標,範疇三減量目標實際作為
16631664,艾克爾國際科技股份有限公司,半導體業,,,,,,,,TRUE,203300%,55.0%,"2,022",NA,NA,FALSE,NA,3%,,"2,190,564",TRUE,簽署合作備忘錄、供應商議合試行計畫、與優先供應商舉行會議
29058640,環球橡膠股份有限公司,石化業
97161348,南中石化工業股份有限公司,石化業
73251209,統一企業股份有限公司,食品業,,,,,,,,TRUE,203000%,38.0%,"2,005",NA,NA,FALSE,1.0%,0%,-8.5%,"1,481,601",TRUE,針對交易金額前20大供應商進行溫室氣體盤查教育訓練、推動產品碳足跡與減碳標籤認證、推動包材減塑與輕量化
84149786,晶元光電股份有限公司,光電業,,,,,,,,TRUE,203200%,50.4%,"2,022",2030,60.0%,TRUE,3.0%,3%,,"174,500",TRUE,在地採購措施、舉辦供應商減碳工作坊、回收與重複利用包材
22853994,台灣寶理塑膠股份有限公司,石化業
73252657,統一實業股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,25.0%,"2,014",NA,NA,FALSE,1.5%,1%,-8.2%,"1,916,438",FALSE,NA
22636630,國巨股份有限公司,電子業,,,,,,,,FALSE,,,,2025,20.0%,FALSE,1.0%,4%,7.3%,"151,614",FALSE,NA
79837539,盛餘股份有限公司,鋼鐵業,,,,,,,,TRUE,202500%,7.0%,"2,018",NA,NA,FALSE,NA,1%,9.1%,"1,130,950",FALSE,推動綠色採購、建置碳管理平台、產品碳足跡盤查
28438025,晶兆成科技股份有限公司,半導體業
