年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類
112,E5600930,台灣國際造船股份有限公司,台灣國際造船股份有限公司,	04695235,"12,144.14","22,116.18","34,260.33",100.00%,"34,260.33","34,260.33",100.00%,高雄市,"34,260.33",100.00%,船舶及其零件製造業,造船業
112,E4900404,國巨股份有限公司楠梓分公司,國巨股份有限公司,22636630,"3,181.51","43,625.31","46,806.82",62.37%,"75,048.35","75,048.35",100.00%,高雄市,"75,048.35",100.00%,被動電子元件製造業,電子業
112,S20A2878,國巨股份有限公司大發二廠,國巨股份有限公司,22636630,"1,530.36","26,711.17","28,241.53",37.63%,"75,048.35","75,048.35",100.00%,高雄市,"75,048.35",100.00%,被動電子元件製造業,電子業
112,E54B0143,華新科技股份有限公司高雄東十五廠,華新科技股份有限公司,19004316,"1,017.25","29,770.22","30,787.47",55.04%,"55,941.60","55,941.60",100.00%,高雄市,"55,941.60",100.00%,被動電子元件製造業,電子業
112,E5408338,華新科技股份有限公司高雄南一廠,華新科技股份有限公司,19004316,"1,431.26","23,722.87","25,154.12",44.96%,"55,941.60","55,941.60",100.00%,高雄市,"55,941.60",100.00%,被動電子元件製造業,電子業
112,S2201092,長春人造樹脂廠股份有限公司高雄廠,長春人造樹脂廠股份有限公司,11384708,"21,289.15","56,917.06","78,206.21",6.78%,"1,152,774.41","1,152,774.41",100.00%,高雄市,"851,395.78",73.86%,塑膠及合成橡膠原料製造業,石化業
112,S23A0124,李長榮化學工業股份有限公司大社廠,李長榮化學工業股份有限公司,39054405,"17,901.82","49,003.32","66,905.14",31.01%,"215,745.08","215,745.08",100.00%,高雄市,"215,745.08",100.00%,塑膠及合成橡膠原料製造業,石化業
112,S2300438,台橡股份有限公司高雄廠,台橡股份有限公司,	03553737,"101,347.44","42,997.72","144,345.17",100.00%,"144,345.17","144,345.17",100.00%,高雄市,"144,345.17",100.00%,塑膠及合成橡膠原料製造業,石化業
112,S1900596,亞洲聚合股份有限公司 林園廠,亞洲聚合股份有限公司,20747385,"10,187.57","97,777.51","107,965.08",100.00%,"107,965.08","107,965.08",100.00%,高雄市,"107,965.08",100.00%,塑膠及合成橡膠原料製造業,石化業
112,E56B1498,環球橡膠股份有限公司小港廠,環球橡膠股份有限公司,29058640,"5,666.65","72,197.15","77,863.80",100.00%,"77,863.80","77,863.80",100.00%,高雄市,"77,863.80",100.00%,塑膠及合成橡膠原料製造業,石化業
