年度,公司,事業統編,統編補0,行業分類,行業大類,2020,2021,2022,2023,2024,2025
112,聯合再生能源股份有限公司,27763753,27763753,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,誠美材料科技股份有限公司,27790294,27790294,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,達輝光電股份有限公司,28230046,28230046,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,元晶太陽能科技股份有限公司,28997300,28997300,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,美商蘋果電子股份有限公司,54393468,54393468,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,精金科技股份有限公司,70750217,70750217,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,友達光電股份有限公司,84149738,84149738,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,晶元光電股份有限公司,84149786,84149786,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,華夏海灣塑膠股份有限公司,11686106,11686106,化學原材料製造業,石化業,0.0,"7,254.1","2,990.1","1,374.5",0.0,0.0
112,萬洲化學股份有限公司,3244705,03244705,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台橡股份有限公司,3553737,03553737,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣中油股份有限公司,3707901,03707901,石油及煤製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣肥料股份有限公司,3795101,03795101,肥料及氮化合物製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,和益化學工業股份有限公司,4312878,04312878,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,聯成化學科技股份有限公司,4748660,04748660,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,聯華氣體工業股份有限公司,5258865,05258865,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,宏洲纖維工業股份有限公司,7220710,07220710,人造纖維製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,三福氣體股份有限公司,11072509,11072509,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,東南實業股份有限公司,11384405,11384405,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,南港輪胎股份有限公司,11520909,11520909,橡膠製品製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台達化學工業股份有限公司,11893409,11893409,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,臺灣紙業股份有限公司,11912102,11912102,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣聚合化學品股份有限公司,11917107,11917107,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,南帝化學工業股份有限公司,12209807,12209807,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,大連化學工業股份有限公司,12233428,12233428,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,中美和石油化學股份有限公司,14040691,14040691,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,東聯化學股份有限公司,14057995,14057995,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台塑旭彈性纖維股份有限公司,16446128,16446128,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣氯乙烯工業股份有限公司,19084015,19084015,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,亞洲聚合股份有限公司,20747385,20747385,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,聯亞科技股份有限公司,22099456,22099456,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣志氯化學股份有限公司,22318516,22318516,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,亞東石化股份有限公司,22318678,22318678,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,亞東工業氣體股份有限公司,22522453,22522453,化學原材料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
112,台灣寶理塑膠股份有限公司,22853994,22853994,塑膠及合成橡膠原料製造業,石化業,0.0,0.0,0.0,0.0,0.0,0.0
