於該縣市合計排放量(公噸CO2e),全台,台中市,台東縣,台南市,宜蘭市,宜蘭縣,花蓮縣,南投縣,屏東縣,苗栗縣,桃園市,高雄市,基隆市,雲林縣,新北市,新竹市,新竹縣,嘉義縣,彰化縣
正新橡膠工業股份有限公司,"79,551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79,551"
建大工業股份有限公司,"26,818",0,0,0,0,0,0,0,0,0,0,0,0,"26,818",0,0,0,0,0
台灣銅箔股份有限公司,"95,837",0,0,0,0,0,0,"95,837",0,0,0,0,0,0,0,0,0,0,0
奇美實業股份有限公司,"542,811",0,0,"542,811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台南紡織股份有限公司,"123,999",0,0,"123,999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
威致鋼鐵工業股份有限公司,"248,917",0,0,"248,917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可成科技股份有限公司,"11,240",0,0,"11,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台星科股份有限公司,"31,961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,961",0,0
艾杰旭顯示玻璃股份有限公司,"389,006",0,0,"28,209",0,0,0,0,0,0,0,0,0,"360,797",0,0,0,0,0
紘楷股份有限公司,"23,316",0,0,0,0,0,0,0,0,0,"23,316",0,0,0,0,0,0,0,0
精金科技股份有限公司,"45,640",0,0,"45,640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
欣銓科技股份有限公司,"29,210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,210",0,0
穩懋半導體股份有限公司,"144,869",0,0,0,0,0,0,0,0,0,"144,869",0,0,0,0,0,0,0,0
達邁科技股份有限公司,"32,467",0,0,0,0,0,0,0,0,"32,467",0,0,0,0,0,0,0,0,0
安瀚視特股份有限公司,"36,225",0,0,"36,225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
景碩科技股份有限公司,"236,715",0,0,0,0,0,0,0,0,0,"152,001",0,0,0,0,0,"84,714",0,0
亞太優勢微系統股份有限公司,"18,474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,474",0,0
住華科技股份有限公司,"43,815",0,0,"43,815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
統一企業股份有限公司,"77,562",0,0,"50,948",0,0,0,0,0,0,"26,615",0,0,0,0,0,0,0,0
統一實業股份有限公司,"76,339",0,0,"76,339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
得力實業股份有限公司,"63,307",0,0,"63,307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東和鋼鐵企業股份有限公司,"822,114",0,0,0,0,0,0,0,0,"311,993","432,298","77,823",0,0,0,0,0,0,0
長興材料工業股份有限公司,"31,335",0,0,0,0,0,0,0,0,0,0,"31,335",0,0,0,0,0,0,0
