年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類,永續報告書有無,是否有報告,報告書收錄連結,報告書／資訊狀態,所屬集團,資訊來源,統編_trim,收錄 ETF
112,O17M3925,力晶積成電子製造股份有限公司P1/2,力晶積成電子製造股份有限公司,28112667,"21,583.49","278,194.47","299,777.96",51.42%,"582,943.65","582,943.65",100.00%,新竹市,"541,998.52",92.98%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/12-MSMxSUcNcxYBBK5qo6XXgZqAegG2Fq/view,,,,28112667,"0051, 0052, 0053, 006204, 00904, 00918, 00935"
112,J5700222,遠東新世紀股份有限公司化學纖維總廠,遠東新世紀股份有限公司,	03522600,"267,507.45","117,561.72","385,069.17",67.61%,"569,531.79","552,113.34",96.94%,新竹縣,"402,487.62",70.67%,人造纖維製造業,石化業,紡織纖維,是,https://drive.google.com/file/d/15373R7xPnbyFDB3dT6zLcQpC-fuKwTVp/view,,,,03522600
112,H4702336,大園汽電共生股份有限公司,大園汽電共生股份有限公司,84526079,"564,803.62","1,825.82","566,629.45",100.00%,"566,629.45","566,629.45",100.00%,桃園市,"566,629.45",100.00%,電力供應業,電力業,油電燃氣業,是,https://drive.google.com/file/d/1af01GKpJR1ylu1mv_7RWFYC-EqEeC2Cu/view,電力業歸在不收的範疇,,,84526079
112,B9502212,矽品精密工業股份有限公司中科廠,矽品精密工業股份有限公司,55991080,"5,422.53","205,090.83","210,513.36",37.65%,"559,058.66","559,058.66",100.00%,台中市,"404,053.87",72.27%,半導體製造業,半導體業,非屬公開發行,是,,永續報告書,日月光,https://www.spilglobal.com/zh-TW/Sustainability/Download,55991080
112,D0403385,三福氣體股份有限公司南科分公司南科8廠,三福氣體股份有限公司,11072509,402.38,"217,718.84","218,121.23",39.31%,"554,927.66","554,927.66",100.00%,台南市,"286,098.87",51.56%,化學原材料製造業,石化業,非屬公開發行,是,,永續報告書,,https://www.sfchem.com.tw/zh-hant/page/csr,11072509
112,O1746614,聯亞科技股份有限公司三廠,聯亞科技股份有限公司,22099456,100.28,"213,314.73","213,415.01",38.54%,"553,705.98","553,705.98",100.00%,新竹市,"233,810.32",42.23%,化學原材料製造業,石化業,非屬公開發行,否,,無發行資訊,林德,https://www.linde.com/sustainability/reporting-center,22099456
112,E4906835,日月光半導體製造股份有限公司十一廠,日月光半導體製造股份有限公司,76027628,"6,547.81","57,248.82","63,796.62",11.74%,"543,558.41","543,558.41",100.00%,高雄市,"302,767.35",55.70%,半導體製造業,半導體業,非屬公開發行,是,https://drive.google.com/file/d/1B27JEf3yn0efts4UX38_LikS7c1bUOu6/view,同日月光投控,日月光,,76027628
112,R1002065,奇美實業股份有限公司,奇美實業股份有限公司,68387705,"339,458.55","25,330.55","364,789.11",67.20%,"542,811.13","542,811.13",100.00%,台南市,"542,811.13",100.00%,塑膠及合成橡膠原料製造業,石化業,化學生技醫療,是,https://drive.google.com/file/d/1zBgD4ZMn5BCM_79kTeUSZnE3JdP3nMnw/view,,,,68387705
112,H45C0110,欣興電子股份有限公司楊梅廠,欣興電子股份有限公司,23535435,"3,569.36","68,945.80","72,515.16",13.49%,"537,380.48","537,380.48",100.00%,桃園市,"385,702.88",71.77%,印刷電路板製造業,電子業,電子零組件業,是,https://drive.google.com/file/d/1geDn0fGfdMNUgo79nrKqs179zdfunkzQ/view,,,,23535435,"0051, 0052, 0053, 0057, 006203, 006204, 00692, 00850, 00881, 00901, 00923, 00935"
112,S1601990,燁聯鋼鐵股份有限公司,燁聯鋼鐵股份有限公司,23218395,"190,757.81","294,245.97","485,003.78",100.00%,"485,003.78","485,003.78",100.00%,高雄市,"485,003.78",100.00%,鋼鐵製造業,鋼鐵業,非屬公開發行,否,,無發行資訊,,https://www.yusco.com.tw/SocialDuty.aspx?Page=Sustainable,23218395
112,H4605074,南亞電路板股份有限公司錦興廠,南亞電路板股份有限公司,16096804,"1,611.51","378,822.84","380,434.35",85.90%,"442,870.11","442,870.11",100.00%,桃園市,"380,434.35",85.90%,印刷電路板製造業,電子業,電子零組件業,是,https://drive.google.com/file/d/1pPPP78zPZPEtDVtPajI0vpkNP9AYnY--/view,,,,16096804,"0051, 0052, 0053, 006204, 00850, 00918, 00943, 009802"
